question,answer
"안녕하세요 백엔드 개발자 취업을 앞둔 취준생인데요,
제가 개인 플젝이 없어서 플젝을 하려고 하는데
그 전에 야매로 조금 배운 스프링을 더 배울지, 더 배운다면 인프런의 어느 강의까지는 들어야할지or
바로 프로젝트를 시작할지

선배님들의 조언이 필요합니다!","간단한 프로젝트라도 만들어 나가다가, 막히는 부분이 있을때 그 부분을 해결하기 위해서 강의를 들어보시면 어떨까요? 저는 그래야 재미가 있어서 계속하게 되더라구요."
"지방권에서 컴퓨터 쪽 전공 다니고 있는데 웹개발쪽으로 취직하고 싶습니다..

이번에 졸업해서 본격적으로 배우고 싶긴한데 비용이 부담스러워서 국비지원캠프 해보려고 하는데

내일배움캠프랑 코드잇 둘 중에 고민이네요.. 해보신 분이나 아시는 분 계신가요?ㅠㅜ
","저는 내일배움캠프와 코드잇 둘다 해봤습니다. 프론트엔드 국비로 배웠는데 html/css 마크업과 퍼블리싱 위주로 가르쳤고, 솔직히 그것만으로는 부족했어요. 취업해서 7개월 간 실무를 해봤는데.. 정말 국비학원에서 배운 것과는 천지 차이였어요! 저는 비전공자라서 국비학원 다니길 잘했다고 생각하긴 하지만, 실무에 부딪히고 나서 국비학원을 다니면서 인강도 들을걸.. 싶더라구요. 제 생각에는 국비학원은 포트폴리오를 빡세게 만들 수 있는 시간인 거 같아요.
만약 국비학원을 다닌다고 하더라도 생활코딩, 코드잇 등의 사이트로 개인공부를 꼭 하시는 걸 추천드려요!
그리고.. '비전공이지만 개발자로 먹고 삽니다.' 라는 책에서 지방보다 서울 수도권 국비학원의 퀄리티가 훨씬 좋다고 하더라구요.
저도 부산에서 다녀서 얼마나 차이나는지는 잘 모르겠지만, 전문가가 그렇게 얘기 하니 참고하세요."
"안녕하세요. 개발자로 취업한지 얼마 안된 신입입니다.
서울소재 문과 4년제로 다니다가, 진로에 대한 확신이 없어서
국비교육 6개월 (Spring)을 수료하고 100명정도 근무하는 IT기업
개발자로 취업하였는데, 제가 있는 부서가 R&D라 그런지 다양한 업무를 보더라구요. 입사해서는 리엑트 네이티브를 하게 되었습니다.
처음에 리엑트에 대해 접해본적이 없어서 거부감이 들었는데, 접해보니까 프론트엔드도 정말 매력있고 재미있더라구요. 원래는 백엔드를 지망했었는데, 업무를 보고 프로젝트를 진행하면서 프론트엔드에도 관심이 많아졌습니다.
다만, 다음 회사 프로젝트가 스프링으로 진행하는 모양이더라구요.

저는 우선 프론트엔드로 진로를 결정하기로 마음 먹었습니다. 1~2년차 때 쯤 대기업으로 이직하는것을 목표로 하고 있고요. 다만, 이제 리엑트랑 리엑트네이티브에 대한 조금의 지식은 생겼으나 ES6이나 이런거에 대한 깊은 이해도도 없고 회사에서도 프론트 업무를 계속 볼 수 없는 상황인거 같습니다.

그래서 따로 공부를 하려고 하는데,, 리엑트를 공부하는게 나을까요? 아니면 ES6를 공부해서 코테준비도 겸사겸사 하는게 좋을까요? 정말 고민이네요 ㅠㅠ","이직하시는데는 포폴을 만드는게 더 좋을거 같습니다.

Frontend에서 요구되는 스킬들을 총망라해서

괜찮은 무엇인가를 만들어 보시면서

필요에 따라 다음 스텝을 정하면 어떨까요"
"지금까지 취직못하고 나이만 먹었습니다...
부끄럽네요...
몸이 좋지 않아서도 있지만 제가 능력이 없어기도 합니다
30대 중반도 신입으로 취직이 가능할까요?
무시당하거나 거절당하진 않을까요?

java기반으로 공부하려고 하는데,
요번 9월 말에 학원에서 하는 kdt를 들으려고 하는데 듣기 전에 미리 독학을 시작하고자 합니다.
프로그래머에서 뭐부터 보면 될까요? 국비지원 항목 말고는 없을까요?","케바케긴 하지만 면접관 분이 좋은 사람 이라면 나이로 거르거나 하진 않을거에요. 나이로 거르는 면접관이다? 그 포지션은 합격해도 맘고생 할 수도 있어요. :)

분명 세상엔 좋으신 분들이 많고 그 분들과 합을 맞출 기회는 누구에게나 주어집니다. 첫 시작은 C언어나 자바 언어책을 펼쳐서 맛을 한 번 보시는 걸 추천 드립니다. 자신이 과연 프로그래밍으로 먹고 살만한 사람인지 확인 하실 수 있으실 거에요.

또한 조언을 드리자면 국비 과정만으로 어엿한 개발자로 취업하기는 힘들고 국비 이후에 개인적으로도 시간 쏟고 포트폴리오 쌓을 각오는 하셔야 합니다. 국비 과정 이후 수많은 탈락과 좌절을 경험할 수 있는데 그 때는 단순히 '나이' 탓만 하며 좌절하시지 않길 바랍니다. 파이팅입니다."
"개발자 취준생, 면접에서 자꾸 떨어져요..ㅜ. 코딩테스트는 어찌저찌 통과해도 면접에서 자꾸 떨어지더라구요..하
면접 준비만 좀 제대로 해보려고 정보 찾는데 코딩 부트캠프 항해99에서 현직 면접관이 하는 설명회가 있길래 들어보려고 하는데 도움 되려나요??","코테 붙고 면접까지 갔으면 당빠 합격'이라는 오해를 푸시기 바랍니다. 그건 지원자 입장이고, 고용주 입장에서는 보통 채용할 사람 수보다 더 많은 사람을 1차 전형 통과시킵니다. 그래서 2차 전형이 있는 거에요. 그리고 2차 전형 참가자 모두가 합격하는 것은 아니기 때문에, 당연히 누군가는 떨어집니다. 그게 질문자님일 뿐입니다. 그리고 최종 합격 불합격은 사람이 자기 회사 사정 가지고 판단하는 거라서, 엉뚱한 이유로 결정되기도 합니다. 이를테면 평가 성적이 훨씬 더 좋아도 여자라는 이유로 안 뽑아버리는 미개한 회사가 이 나라엔 아주 흔해요.

개발자는 실무 전문 기술직/생산직입니다. 한국적으로 말하자면, 막말로 노가다꾼인데, 빌딩을 건설하는 게 아니라 디지털 제품을 빌드하는 노동자라고 할 수 있습니다. 이 관점으로 면접 준비를 하시기 바랍니다. 정장이 아니라 ""내일부터 출근할 때 입을 옷""을 고르시고, 면접관이 아니라 ""내일부터 팀장님이라고 부를 사람""과 대화하시고, 기술 질문이 아니라 ""내일부터 해결해야 할 과제에 관한 토론""이라고 생각하고 임하세요.
왜냐면 실제로 그렇거든요. 면접관들은 보통 개발팀 팀장급이고, 그들은 질문자님을 면접 보기 직전까지 뭔가 다른 문제를 붙잡고 싸우고 있었을 사람들입니다. 나는 그 사람의 팀 멤버가 되어 같은 문제를 해결할 준비가 돼 있는가? 그 부분을 생각해 보시기 바랍니다.

요즘 이 바닥이 굉장히 불경기입니다. 유동성이 회수되고 있어서 투자 심리가 위축되었기 때문인데요. 어쩌면 단지 그 이유 때문에 질문자님의 자리가 안 난 건지도 모릅니다. 모쪼록 힘내시길 바랍니다."
"안녕하세요! 저는 해외에있는 대학교에서 응용수학을 전공하는 4학년 학생입니다.
조금 늦게 대학에 진학하게 되어 졸업을하면 29 ~ 30살이되는데 진로에대한 고민을 해결하기 위해 여쭤보고자 합니다.
저는 통계, 조합론, 데이터 과학과 같은 내용을 학교에서 배웠으며, 최근에는 R을 사용하여 기초적인 코딩을 해 보았습니다. 하지만 완벽하게 다룰 수는 없으며, 다른 프로그래밍 언어에는 익숙하지 않습니다. 미래를 고려하면서 데이터 관련 분야가 제 전공과 일정한 연관성이 있다고 생각되어 도전해 보고 싶습니다.
검색을 통해서 데이터 분야에는 다양한 분야와 기술이 존재한다는 것을 알게 되었는데, 어디에서는 코딩부터 시작해야 한다고 하고, 다른 곳에서는 SQL을 공부하라고 하며, 또 다른 곳에서는 Kaggle을 통한 경험을 쌓으라고 합니다. 이렇게 광범위한 정보들로 인해 어디서부터 시작해야 할지 갈피를 잡지 못하고 있습니다. 게다가 졸업이 다음 해에 다가오면서 아무런 준비도 되어있지 않아 취업 가능성에 대한 걱정도 더해지고 있습니다.
저는 현재 아무런 기반도 없다고 생각하고 있으며, 데이터 분야에서 취업을 위해 공부하고자 합니다. 이를 위해 어떤 방향으로 공부를 진행해야 하는지, 어떤 것부터 시작하는 것이 좋을지 조언을 구하고 싶습니다. 감사합니다!","데이터 분석에는 손을 뗀지 좀 오래되어서 조언이 될지 모르겠지만,

이미 통계, 데이터 과학, R로 기초 코딩 등을 해보셨으면, 저라면 Kaggle에서 EDA를 살펴보는 것을 추천드릴게요.
데이터 분석의 기본은 데이터셋에서 데이터가 어떠한 형태로 존재하고, 분포, 이상치 등을 확인하는 것부터라고 생각해서
코딩이나 SQL을 먼저 공부하기보다는 다양한 데이터셋에서 EDA는 어떻게하고,
과정을 통해서 이러한 정보를 알아내기 위해서는 이러한 코드가 필요하구나 혹은 이런 쿼리가 필요하겠구나라는 걸
먼저 보시면서 우선순위를 잡아가는게 좋다고 생각합니다.

솔직히 실무에서 코딩과 SQL 중 어느 것에 비중을 둔다기보다 적재적소에 어떻게 사용하느냐가 중요하다고 생각해서
먼저 EDA를 코딩으로 해보던지 혹은 DB에 넣어 쿼리를 실행해보면서 공부하는 것을 추천드릴게요."
"안녕하세요. 저는 지금 컴퓨터 공학과에 재학중인 1학년 학생입니다. 다름이 아니라 진로고민으로 질문을 드립니다. 아직 1학기만 다녀 여러분이 보시기에 아직 판단하기 이르다고 느껴지실 수도 있지만 저는 프론트엔드와 빅데이터에 관심이 있습니다. 그리고 두 분야와 관련하여 질문을 드리고 싶습니다.

첫 번째로 저 두 분야의 전망에 대해 궁금합니다. 앞으로 미래에 두 분야는 수요가 많은지 전망은 밝은 지가 궁금합니다.

두 번째로 두 분야의 관련성에 대해 궁금합니다. 학문적으로 겹치는 부분이 있나요? 왜냐하면 제가 여름 방학 동안 빅데이터 관련해서 단기교육을 듣게 되는데 제가 앞서 말씀 드렸 듯이 빅데이터 뿐만 아니라 프론트엔드에도 관심이 있어서 빅데이터 교육이 조금이나마 프론트엔드에도 도움이 되나 궁금해서 질문드립니다.

세 번째로 각 분야 별로 취직할 수 있는 산업분야, 회사, 직무는 어떤 곳이 있나요?

아직 관련 지식이 부족한 사람이라 질문들이 이상하게 보일 수도 있지만 부탁드립니다. 감사합니다.","현재 시점에서 전망에 대해 예측하거나 추측하는것이 거의 무의미합니다. 두 분야 모두 매우 빠르게 변합니다. 다만 프론트의 경우 수요가 꾸준했으나 그만큼 공급이 아주 많이 된 상태입니다. 그러나 졸업까지 기간을 생각하면 예상하기 어렵습니다.

굳이 따지자면 다른분야입니다. 프론트엔드 엔지니어라 하면 기술 스택이 명확할 수 있는데, 빅데이터 엔지니어라 하면 범위가 넓습니다. 진로 고민이라면 관심 주제보다는 직무를 중점으로 검색하시면 좋습니다.

거의 전분야에 활용되는 분야입니다. 오늘날에는 비개발회사에서도 필수적인 분야입니다."
"안녕하세요. 개발자로 취업한지 얼마 안된 신입입니다.
서울소재 문과 4년제로 다니다가, 진로에 대한 확신이 없어서
국비교육 6개월 (Spring)을 수료하고 100명정도 근무하는 IT기업
개발자로 취업하였는데, 제가 있는 부서가 R&D라 그런지 다양한 업무를 보더라구요. 입사해서는 리엑트 네이티브를 하게 되었습니다.
처음에 리엑트에 대해 접해본적이 없어서 거부감이 들었는데, 접해보니까 프론트엔드도 정말 매력있고 재미있더라구요. 원래는 백엔드를 지망했었는데, 업무를 보고 프로젝트를 진행하면서 프론트엔드에도 관심이 많아졌습니다.
다만, 다음 회사 프로젝트가 스프링으로 진행하는 모양이더라구요.

저는 우선 프론트엔드로 진로를 결정하기로 마음 먹었습니다. 1~2년차 때 쯤 대기업으로 이직하는것을 목표로 하고 있고요. 다만, 이제 리엑트랑 리엑트네이티브에 대한 조금의 지식은 생겼으나 ES6이나 이런거에 대한 깊은 이해도도 없고 회사에서도 프론트 업무를 계속 볼 수 없는 상황인거 같습니다.

그래서 따로 공부를 하려고 하는데,, 리엑트를 공부하는게 나을까요? 아니면 ES6를 공부해서 코테준비도 겸사겸사 하는게 좋을까요? 정말 고민이네요 ㅠㅠ","이직하시는데는 포폴을 만드는게 더 좋을거 같습니다.

Frontend에서 요구되는 스킬들을 총망라해서

괜찮은 무엇인가를 만들어 보시면서

필요에 따라 다음 스텝을 정하면 어떨까요"
"지금 국비학원 1개월차인데 자바를 배우면서 개발이 생각보다 재미가 들어

집에서도 공부하며 실력을 쌓고 있습니다

하지만 처음에는 게임개발에 흥미를 보였는데

(게임을 좋아해서 흥미가 갔습니다)

게임개발에 대한 이야기들을 보면 스타트업으로 좀 힘들다?

알고리즘이나 ai 등등 웹개발보다 어렵다고 하더라고여

그래서 저는 웹국비학원을 다니며 게임쪽으로 웹개발을 해보고 싶은데

게임 웹사이트 개발자같은건 없을까요? 간접적으로나마

게임분야쪽에서 웹개발자로 취업하고 싶은데 혹시 알고 계신분 있으실까요?","대표적으로 OPGG 같은 회사가 있을 수도 있겠다는 생각이 드네요.
게임과 관련 있으면서 게임에 대한 부가적인 서비스(전적검색 등)를 제공하는 회사도 대안 중 하나가 될 수 있을 것 같습니다.

저도 게임을 좋아하고 게임 개발에 관심이 많지만 기술적인 진입장벽 때문에 웹 개발부터 시작하여 공부하고 있는 1년차 프로그래머입니다.
어떤 고민을 하고 계시는지 완벽하게는 아니지만 비슷하게나마 이해가 가네요.
좋아하시는 마음 잃지 마시고 항상 즐겁게 개발하시기를 기원할게요!"
"안녕하세요 저는 군 복학 후 현재 서울의 모 대학교에서 컴퓨터공학과 재학중인 2학년 학생입니다. 나이는 23살입니다.

조언을 구하고 싶어 글을 올려봅니다. 도와주신다면 정말 감사하겠습니다.

전공 적성과 휴학 고민입니다.

저는 우울증과 범불안장애, 사회불안장애 진단을 받고 1년째 치료중에 있습니다. 기복이 심하지만 지금은 괜찮은데요, 주치의 교수님께서는 원하면 지금이라도 질병휴학을 할 수 있도록 도와주신다고 합니다. 현재 제가 듣고 있는 전공 과목은 자료구조(C++), 컴퓨터구조, 선형대수, JAVA(객체지향 프로그래밍)입니다만, 학교 생활 부적응 및 후술할 전공 부적응 그리고 제 노력의 부족으로 중간고사를 대차게 말아먹었습니다. 반에서 거의 꼴찌 수준으로 공부를 아예 하질 않았습니다. 휴학을 해서 정신과 치료하고 좀 쉬다가 내년에 다시 열심히 공부해서 학점을 챙기는 게 맞을지, D~C 학점대를 받더라도 종강이 1달정도 남은 이 시점에 그냥 마지막까지 버티는 게 나을지 조언을 구하고 싶습니다.

본래 저는 수학을 좋아하고 코딩에 대해서는 1학년 때 C로 연결리스트 구현할 때 희열을 느꼈던 것 빼고는 코딩은 정말 싫어했습니다. 그리고 이번 학기 과목 역시 매 수업마다 이해도 못하고 복습도 밀려서 악순환은 반복되고, 배우는 내용 자체 또한 너무 싫었습니다. 절차지향적으로 코드를 한줄 한줄 읽어나가면서 어떻게 동작할지 머릿속에 그리고 스택,큐같은 구조들을 코드로 구현하는 것 자체가 이해가 가지 않고 답답하기만 했습니다. 제가 겪고 있는 전공 고민이 이 시기에 남들도 다 겪는 그런 고충일까요?

도와주시면 감사하겠습니다. 긴 글 읽어주셔서 감사합니다.","저도 비슷한 질병으로 인해 한학기 휴학하고 3학년 2학기 재학중입니다.

글을 읽어보니 저와 상태가 비슷한 상황이네요.

저는 학과 공부는 최소한으로 하고 실무공부 즉, 포트폴리오 작성을 메인으로 하고 있습니다.

관심있는 직종을 고르시고, 그 분야에 대해 ""처음부터"" 공부를 시작하세요
차근 차근 공부하다보면 ""어? 이거 학교에서 배웠던거 같은데? 책 어딧더라?"" 라던가
""이거 지금 배우는 과목 아닌가? 수업가서 교수님께 물어봐야겠다!"" 라는 생각을 하게됩니다.

아 그리고 제가 추천하는 직종은 막 알고리즘 마스터, 임베디드 엔지니어, os개발자 이런부분 말고 좀더 (상대적으로) 쉬운
프론트앤드 개발자, 앱 개발자를 추천드립니다.

어려운 시기 잘 견뎌내시고 좋은 기업 취업하시길 바랍니다."
"현재 스타트업에서 데이터 엔지니어로 9개월 째 일하고 있는 데린이입니다. 다름이 아니라 경력 1년 되기 직전의 시점인 지금 커리어에 대한 고민이 계속해서 드는 상황입니다.

현재 있는 회사에서 데이터 엔지니어로써도 써보아야 하는 다양한 기술도 많이 써보고, 굉장히 자율적인 회사라 제가 하고 싶은 프로젝트도 자유롭게 할 수 있는 정말 좋은 분위기인데, 아무래도 스타트업이다보니 커리어적으로 계속해서 고민이 생깁니다.

마음으로는 이 회사에 남아서 회사가 아니면 할 수 없는 경험들을 해보고 싶은 생각인데 얼마전에 네이버 신입 공채도 경력을 1년 미만으로 제한한 것을 보고 생각이 좀 많아지더라구요...

누구는 경력을 쌓아서 더 좋은 곳으로 이직하는 것이 훨씬 쉽다고 하고, 누구는 스타트업에서 대기업이나 흔히들 말하는 네카라쿠배에 가는 것은 어렵다고 이야기하고...

배울 점이 많다고 생각하는 현재의 회사에서 어느정도 경력을 더 쌓고 좋은 곳으로 이직하는 것이 좋다고 생각하시나요 아니면 지금이라도 더 이상 경력을 쌓지 말고 대기업을 위한 준비를 하는 것이 좋다고 생각하시나요?

다양한 분들의 의견을 듣고 싶습니다","어느 회사든지 입사 9개월째쯤이면 '아 이제 업무파악은 됐는데 슬슬 지루하네' 싶을 때가 됩니다.
근데 남의 돈을 받아 일한 경력이 9개월차라고 하면, 벌써부터 그렇게 생각하시면 안 됩니다.
지금부터 ""경력 메뚜기""를 시작하시면 앞으로 영영 메뚜기처럼 뛰어다니시게 될 겁니다.
회사가 직원에게 돈을 주는 이유는, 그 직원이 앉아서 하는 업무 내용보다는, 그 직원이 출근해서 자리에 앉는다는 사실 자체에 있기 때문이지요.

요컨대 기술직 경력자로서의 태도의 문제에요.
막연히 ""네이버 가면 뭐가 돼도 되겠지"" 하지 마시고, 1년은 채우고 생각하십시다.
말씀 들어보니 회사가 막 사방에 빨간불이 켜져 있어서 당장 탈출해야 하는 그런 곳도 아닌 모양인데요, 혹시 제가 잘 모르는 심각한 문제가 있는 건가요?"
"안녕하세요!!!

저는 복수전공을 하고 데브코스 5개월을 마무리한 프론트엔드 취준생입니다.

데브코스가 끝이 나고 취업 전선에 나섰지만 취업이 잘 되지 않아 7개월간 취업하지 못한 취준생입니다.

그래서 이 공백기에 무엇을 했나 살펴보니 대부분 회사 과제테스트, 코딩테스트, 면접 준비로 시간을 대부분 썼더라구요.
계속 개선하면서 준비를 해나가고 있는데 마지막 관문이 쉽지 않더군요....

대표 프로젝트도 2개 가지고 있고 스터디도 진행하고 있는데 이 공백기가 저를 불안하게 만드네요 ㅜㅜ
프로젝트를 다시 하나 해야하는지 아니면 계속 비슷하게(코딩테스트, 면접 준비등) 나아가야 하는지 어떤 방향성을 가지고 나아가야 하는지 고민이 되어서 올려봅니다. :)


조언 부탁드립니다.!!!","7개월간 면접은 많이 보셨는지요?

많이 봤다면: 슬슬 자기 자신의 약점을 자각할 때가 되었을 겁니다. 다음 면접 때도 똑같이 그 약점을 들키지는 말아야겠다는 목표로 지원 준비하시기 바랍니다.

별로 보지 않았다면: 일단 면접을 많이 보는 것을 목표로 합시다. 이력서는 수단일 뿐이고 진짜로 목표해야 하는 것은 면접입니다. ""미래의 고용주, 동료, 팀장님에게 이러이러한 점을 어필해야겠다"" 하는 부분을 생각하세요.

어느 쪽이든: 기본적으로 너무 불안해하거나 자책하지 마시기 바랍니다. 지금 개발자 노동시장이 좀 경직돼 있고 특히 프론트엔드 쪽은 좀더 어렵다고 듣고 있습니다. 계절적 요인도 있고(프로젝트는 보통 봄~여름에 시작) 요즘은 기술투자가 경색되면서 신규채용에 소극적이 된 시장 형편도 있고 하니, ""결국 언젠가는 어딘가에 고용되긴 될 텐데, 그때 나는 그곳에서 어떤 도움을 주는 사람이 될 것인가""를 위주로 차분히 생각해 보시기 바랍니다."
"안녕하세요.
저는 26살 취준생 입니다.
20대 대학교를 다녔지만, 다녀보니 저와는 맞지 않아 중간에 그만두고
"" 나에게 무엇이 맞을까? "" 고민하고 찾다가
우연히 AI개발자 라는 직업을 알게 되었습니다.
AI를 통해 사람들에게 많은 도움을 줄 수 있다는 부분에서 많은 매력을 느껴
AI 개발자 라는 꿈을 갖게 되었습니다.

그러나 저는 AI 개발은 커녕 코딩도 해본적이 없는 초보중에 초보라
어떤것 부터 공부하고 시작을 해야 할지

AI 기초지식, 코딩, 수학 등 알아야할 것들이 정말 많다고 는 알지만
무엇부터 공부해야 할지 고민 입니다.

어떤것 부터 배워야 할지 추천 부탁 드립니다.","제가 커리어가 좋은 편이 아니여서 감히 조언을 해드려도 될지는 모르겠지만, AI쪽 대기업으로 취직한 분들을 많이 알기도 하고 대학원생들도 알고 있어서 이쪽 생태계에 대해 알기 때문에 얘기해보겠습니다.

일단 김진아님이 말씀하시는 AI개발자라 하면 그 단어 자체가 모호한 감이 있어 AI 모델링을 하는 일이라고 가정하겠습니다. 이는 데이터 분석가, 데이터 사이언티스트, 데이터 엔지니어 중 데이터 사이언티스트에 속하는 것입니다. 데이터 사이언티스트는 기본적으로 박사 이상 분들이 하십니다. 학사 이상인 분들은 정말 실력이 좋으며 연구가 하고 싶을 경우 보조 역할을 할 수는 있으나, 보통은 데이터 분석 직무로 빠지며 이는 모델링을 하는 것과는 다르다고 봐야 합니다.
따라서 AI 개발자가 되기 위해서는 AI 관련 박사학위를 따는 것이 가장 안정적입니다. 코딩은 어디까지나 딥러닝을 구현하기 위한 도구이기 때문에 깊은 공부를 필요로 하지 않습니다. 실제로 데이터 사이언티스트 분들은 자신들을 개발자라 칭하지 않습니다. 통계를 기초부터 공부하시는 것을 추천드립니다."
"매일 정처기 시험준비와

프로그래머스에서 코딩테스트 3~4문제 씩 풀고 푼거 리뷰해서

블로그랑 깃허브에 올리고 있습니다.

포트폴리오는 있는데

코딩 공부한지 6개월 밖에 안되 프로젝트가 2~3개로 빈약합니다.

계속 정처기와 코딩테스트 공부를 계속할지

개인 프로젝트를 하나 더 만들지 고민입니다.

아니면 다른 취업 공부가 있으시면 지도 부탁드립니다.

++)
지금 까지 해본 프로젝트는

공공데이터 가져와서 python으로 데이터 전처리, 분석, 시각화

독학으로 django, mysql로 연동하여 데이터 분석, 시각화 웹페이지

가 전부입니다..

python으로 할 수 있는 다른 프로젝트는 뭐가 있을 까요?","파이썬으로 어떤 개발자가 될건지 정하셨으면 그에 대한 프로젝트를 하시면 될 것 같습니다.
프로젝트 내용을 보니까 데이터 분석가 쪽인 듯 한데,

가장 먼저 어디 회사에 들어갈지 정하셨으면 그 회사에서 필요한 스킬에 대해 공부하셔야 합니다.
mysql을 공부 했는데 그 회사는 nosql을 쓴다거나 django만 공부했는데 fastapi를 쓴다거나 할 수도 있어요.

회사가 정해지지 않았다면

kaggle이나 dacon 같은곳에서 대회 참여해보시고 그에 대한 내용을 정리하셔도 좋을 것 같고.

서버관련해서는 aws쪽도 공부해보시고

sql 공부해보실거면 adsp 같은 자격증도 한번 봐보세요.

대기업을 생각하신게 아니라 중소기업쪽을 생각하셨으면 중소기업은 대부분 이것저것 다하게 될테니까
저도 잘 모르지만 이렇게 해보시고 부족하시면 전체적인 프로젝트를 직접 해보시는 것도 좋을 것 같네요.

예를 들어 대학생 비대면 얼굴 인식 출석 프로그램을 만든다고 가정해보면
어떤 데이터를 모아야 하고 전처리를 어떻게 하며 얼굴 인식 모델을 만든다면
Precision이 중요한지 recall이 중요한지 다른 어떤 요소가 더 중요한지 판단해보고
어떤 모델을 써야하고 어떤 백엔드와 어떤 DB를 사용할지 서버 통신은 어떻게 할건지
UI는 어떻게 꾸밀 것이고 등등이 있겠네요.

저는 이렇게 했었는데 도움이 될지는 모르겠네요."